,Classifier,Score
0,NearestCentroid,10.819579847213939
1,GaussianNB,9.982716794694992
2,BernoulliNB,9.609249826821621
3,QuadraticDiscriminantAnalysis,9.32196060209488
4,CalibratedClassifierCV,9.109677280742364
5,LinearDiscriminantAnalysis,9.044220180055916
6,LogisticRegression,9.016406028538194
7,AdaBoostClassifier,9.00597204685534
8,XGBClassifier,9.004622476197351
9,SGDClassifier,8.988415586290548
10,Perceptron,8.988365041200266
11,LGBMClassifier,8.978165189433453
12,KNeighborsClassifier,8.962116242901205
13,LabelSpreading,8.932806596012865
14,LabelPropagation,8.927787164344931
15,ExtraTreesClassifier,8.911316106464495
16,RandomForestClassifier,8.89755036082201
17,LinearSVC,8.884146643249043
18,DecisionTreeClassifier,8.821710334005212
19,SVC,8.790076381639386
20,RidgeClassifier,8.772398611270075
21,RidgeClassifierCV,8.770158307982756
22,PassiveAggressiveClassifier,8.757898731013466
23,BaggingClassifier,8.750957041147414
24,ExtraTreeClassifier,8.69907639615772
25,DummyClassifier,7.5
26,NuSVC,3.365267771137533
